Country Name,Country Code,Indicator Name,Indicator Code,Valor_Inicial,Ano_Inicial,Valor_Final,Ano_Final,Crescimento_Absoluto,Crescimento_Percentual
Afghanistan,AFG,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,62.1364707946777,1990.0,56.6954917907715,2017.0,-5.4409790039062,-8.756498292098442
Afghanistan,AFG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.46148991584778,1990.0,3.31753993034363,2017.0,-0.14394998550414995,-4.158613458473533
Afghanistan,AFG,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,30.0911502838135,1990.0,111.877082824707,2017.0,81.7859325408935,271.79397188045493
Afghanistan,AFG,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,11.2228298187256,1990.0,55.6444091796875,2017.0,44.4215793609619,395.81442540314805
Afghanistan,AFG,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,29.553840637207,1990.0,29.553840637207,2017.0,0.0,0.0
Afghanistan,AFG,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,15106.0,1990.0,142880.0,2017.0,127774.0,845.8493313915002
Albania,ALB,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,54.8003311157227,1990.0,54.8003311157227,2017.0,0.0,0.0
Albania,ALB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.2632999420166,1990.0,3.53943991661072,2017.0,0.2761399745941202,8.461985704675245
Albania,ALB,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,99.8214721679688,1990.0,113.699798583984,2017.0,13.878326416015199,13.903147403659052
Albania,ALB,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,90.2612762451172,1990.0,95.7654876708984,2017.0,5.504211425781193,6.098087302503603
Albania,ALB,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,92.0243911743164,1990.0,106.367561340332,2017.0,14.343170166015597,15.586270099680604
Albania,ALB,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,13342.0,1990.0,10119.0,2017.0,-3223.0,-24.15679808124719
Algeria,DZA,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,,,,,,
Algeria,DZA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.35424995422363,1990.0,4.35424995422363,2017.0,0.0,0.0
Algeria,DZA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,92.0762023925781,1990.0,116.154441833496,2017.0,24.078239440917898,26.15033940937029
Algeria,DZA,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,59.1210517883301,1990.0,99.8601913452148,2017.0,40.7391395568847,68.90800877958365
Algeria,DZA,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,77.014060974121,1990.0,105.799018859863,2017.0,28.784957885742003,37.37623691265235
Algeria,DZA,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,144945.0,1990.0,164684.0,2017.0,19739.0,13.61826899858567
American Samoa,ASM,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,,,,,,
American Samoa,ASM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,
American Samoa,ASM,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,,,,,,
American Samoa,ASM,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,,,,,,
American Samoa,ASM,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,,,,,,
American Samoa,ASM,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,461.0,1990.0,524.0,2017.0,63.0,13.665943600867678
Andorra,AND,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,27.1388702392578,1990.0,22.0757102966309,2017.0,-5.0631599426269,-18.656487532420467
Andorra,AND,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.71327996253967,1990.0,3.25367999076843,2017.0,-0.45959997177124023,-12.377196882749995
